"filename", "language", "Go", "Go Checksum File", "Go Module File", "Python", "YAML", "Batch", "Markdown", "XML", "JSON", "comment", "blank", "total"
"g:\code\DCA-IOT-system\api\rule\scheduler\scheduled_map.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"g:\code\DCA-IOT-system\api\server\controller\biology_controller.go", "Go", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 518
"g:\code\DCA-IOT-system\api\server\controller\company_controller.go", "Go", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 244
"g:\code\DCA-IOT-system\api\server\controller\device_controller.go", "Go", 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 458
"g:\code\DCA-IOT-system\api\server\controller\role_controller.go", "Go", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104
"g:\code\DCA-IOT-system\api\server\controller\rule_controller.go", "Go", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 200
"g:\code\DCA-IOT-system\api\server\controller\user_controller.go", "Go", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 104
"g:\code\DCA-IOT-system\api\server\dao\biology_dao.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 96
"g:\code\DCA-IOT-system\api\server\dao\company_dao.go", "Go", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 73
"g:\code\DCA-IOT-system\api\server\dao\device_dao.go", "Go", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 112
"g:\code\DCA-IOT-system\api\server\dao\role_dao.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"g:\code\DCA-IOT-system\api\server\dao\rule_dao.go", "Go", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"g:\code\DCA-IOT-system\api\server\dao\user_dao.go", "Go", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"g:\code\DCA-IOT-system\api\server\entity\biology.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"g:\code\DCA-IOT-system\api\server\entity\company.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"g:\code\DCA-IOT-system\api\server\entity\device.go", "Go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"g:\code\DCA-IOT-system\api\server\entity\role.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"g:\code\DCA-IOT-system\api\server\entity\rule.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"g:\code\DCA-IOT-system\api\server\entity\user.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"g:\code\DCA-IOT-system\api\server\router\biology_router.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"g:\code\DCA-IOT-system\api\server\router\company_router.go", "Go", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"g:\code\DCA-IOT-system\api\server\router\device_router.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"g:\code\DCA-IOT-system\api\server\router\monitor_router.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"g:\code\DCA-IOT-system\api\server\router\role_router.go", "Go", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"g:\code\DCA-IOT-system\api\server\router\rule_router.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"g:\code\DCA-IOT-system\api\server\router\user_router.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
"g:\code\DCA-IOT-system\api\server\service\biology_service.go", "Go", 263, 0, 0, 0, 0, 0, 0, 0, 0, 209, 26, 498
"g:\code\DCA-IOT-system\api\server\service\company_service.go", "Go", 283, 0, 0, 0, 0, 0, 0, 0, 0, 85, 18, 386
"g:\code\DCA-IOT-system\api\server\service\device_service.go", "Go", 304, 0, 0, 0, 0, 0, 0, 0, 0, 167, 25, 496
"g:\code\DCA-IOT-system\api\server\service\role_service.go", "Go", 78, 0, 0, 0, 0, 0, 0, 0, 0, 37, 6, 121
"g:\code\DCA-IOT-system\api\server\service\rule_service.go", "Go", 149, 0, 0, 0, 0, 0, 0, 0, 0, 80, 17, 246
"g:\code\DCA-IOT-system\api\server\service\sensor_service.go", "Go", 67, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 103
"g:\code\DCA-IOT-system\api\server\service\user_service.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 50, 8, 161
"g:\code\DCA-IOT-system\api\server\tools\server\message.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"g:\code\DCA-IOT-system\api\server\tools\server\request.go", "Go", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 115
"g:\code\DCA-IOT-system\api\server\tools\server\response.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54
"g:\code\DCA-IOT-system\api\server\tools\util\hex_to_dec.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\code\DCA-IOT-system\api\server\tools\util\is_float_qual.go", "Go", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"g:\code\DCA-IOT-system\api\server\tools\util\parse_date.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"g:\code\DCA-IOT-system\api\server\tools\util\stack.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"g:\code\DCA-IOT-system\api\server\tools\util\string_translate.go", "Go", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"g:\code\DCA-IOT-system\api\server\vo\biology_info.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"g:\code\DCA-IOT-system\api\server\vo\biology_portabledevice.go", "Go", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"g:\code\DCA-IOT-system\api\server\vo\company_info.go", "Go", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"g:\code\DCA-IOT-system\api\server\vo\company_tree_node.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\code\DCA-IOT-system\api\server\vo\fio_data.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"g:\code\DCA-IOT-system\api\server\vo\fixed_device.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"g:\code\DCA-IOT-system\api\server\vo\new_collar.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\code\DCA-IOT-system\api\server\vo\own_assets.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"g:\code\DCA-IOT-system\api\server\vo\portable_device.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
